Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
pelvis,-0.00256787630024146,-0.000887833684216105,0.0146800850149516,0,0,0,1.82009992232149,0.00462583635517815,0.000212486072669536,4.38915159469034E-06,0.00345820766345549,7.99753099845553E-07,0.00718430528408269,0,0,0,0,0,0,package://VMP_DESCRIPTION/meshes/pelvis.STL,1,1,1,1,0,0,0,0,0,0,package://VMP_DESCRIPTION/meshes/pelvis.STL,,髋壳-1;A1电机-10;镜向A1电机-12;PC电池-3;PC电池-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_yaw_link,-0.0159920077215595,-0.0100206055739239,0.0347848367880262,0,0,0,0.280645646081787,0.000381887781997267,2.45602791999431E-05,-7.91851319439392E-05,0.000419027649127912,-1.30807858936924E-05,0.000408426327103317,0,0,0,0,0,0,package://VMP_DESCRIPTION/meshes/left_hip_yaw_link.STL,0.196078431372549,1,0.407843137254902,1,0,0,0,0,0,0,package://VMP_DESCRIPTION/meshes/left_hip_yaw_link.STL,,镜向髋关节连杆3-2;镜向A1电机-14,Origin_left_hip_yaw_joint,基准轴1,left_hip_yaw_joint,revolute,-0.05016,0.069802,-0.091014,0,0,0,pelvis,0.059391,-0.33682,0.93969,33.5,21,-0.43,0.43,,,,,,,,
left_hip_roll_link,0.0291451857252501,0.0234323836907724,0.00131547982678752,0,0,0,0.231534153665917,0.000234722836542664,-9.28999580872832E-05,2.7898016165535E-06,0.000271406443998359,5.76476001577447E-06,0.000303229026342852,0,0,0,0,0,0,package://VMP_DESCRIPTION/meshes/left_hip_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://VMP_DESCRIPTION/meshes/left_hip_roll_link.STL,,镜向大腿支座-2,Origin_left_hip_roll_joint,基准轴2,left_hip_roll_joint,revolute,-0.030131,-0.00028582,0.0018019,0,0,0,left_hip_yaw_link,-0.98481,-0.17365,0,33.5,21,-0.43,0.43,,,,,,,,
left_hip_pitch_link,-0.000247985961659737,0.0307286573866167,-0.0715485045025298,0,0,0,0.487675902888648,0.000892852240282823,-6.68335591524375E-05,1.27463141496406E-05,0.00118807714468775,6.96115783303657E-06,0.000477303537255308,0,0,0,0,0,0,package://VMP_DESCRIPTION/meshes/left_hip_pitch_link.STL,0.101960784313725,0.101960784313725,0.101960784313725,1,0,0,0,0,0,0,package://VMP_DESCRIPTION/meshes/left_hip_pitch_link.STL,,镜向Thigh-4;镜向A1电机-13;镜向A1电机-15,Origin_left_hip_pitch_joint,基准轴3,left_hip_pitch_joint,revolute,0.070711,-0.0048448,0.0010654,0,0,0,left_hip_roll_link,0.17365,-0.98481,0,33.5,21,-3.14,2.53,,,,,,,,
left_knee_link,-0.0062600208066504,0.0395185124998271,-0.089851894614121,0,0,0,0.602703044618066,0.00159882919347172,-5.00365013754255E-05,-4.12863162629506E-05,0.00191367357489016,-0.0001343029601728,0.000461056885194735,0,0,0,0,0,0,package://VMP_DESCRIPTION/meshes/left_knee_link.STL,1,1,1,1,0,0,0,0,0,0,package://VMP_DESCRIPTION/meshes/left_knee_link.STL,,镜向小腿-6;镜向小腿铝板支撑件-4;镜向A1电机-16,Origin_left_knee_joint,基准轴4,left_knee_joint,revolute,-0.00059469,-0.00010486,-0.14106,0,0,0,left_hip_pitch_link,0.17365,-0.98481,0,33.5,21,-0.26,2.05,,,,,,,,
left_ankle_link,-0.0089545421148613,-0.0100809228311293,-0.0539966861726077,0,0,0,0.408972031756752,0.000332584210290936,-0.000126390466619213,7.79234117859228E-05,0.00122937388584356,-5.87431949151699E-05,0.00112133453498422,0,0,0,0,0,0,package://VMP_DESCRIPTION/meshes/left_ankle_link.STL,1,1,1,1,0,0,0,0,0,0,package://VMP_DESCRIPTION/meshes/left_ankle_link.STL,,镜向脚-6,Origin_left_ankle_joint,基准轴5,left_ankle_joint,revolute,0.0089064,0.044489,-0.16864,0,0,0,left_knee_link,-0.17365,0.98481,0,33.5,21,-0.87,0.52,,,,,,,,
right_hip_yaw_link,-0.0184536579356409,0.00394733742726157,0.0347846494963175,0,0,0,0.280635894644723,0.000402040717342623,-3.07548231621481E-05,-7.88786123774816E-05,0.000398892980251878,-1.47871286971658E-05,0.000408446499029116,0,0,0,0,0,0,package://VMP_DESCRIPTION/meshes/right_hip_yaw_link.STL,0.196078431372549,1,0.407843137254902,1,0,0,0,0,0,0,package://VMP_DESCRIPTION/meshes/right_hip_yaw_link.STL,,髋关节连杆3-1;A1电机-11,Origin_right_hip_yaw_joint,基准轴10,right_hip_yaw_joint,revolute,-0.023261,-0.082748,-0.091014,0,0,0,pelvis,-0.059391,0.33682,0.93969,33.5,21,-0.43,0.43,,,,,,,,
right_hip_roll_link,0.0354018043906988,-0.0120508583940643,0.00131552648753507,0,0,0,0.231534810287751,0.000179300736670541,5.93760438355876E-05,4.59326198412994E-06,0.000326830455866784,-4.46329769994826E-06,0.000303230275827081,0,0,0,0,0,0,package://VMP_DESCRIPTION/meshes/right_hip_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://VMP_DESCRIPTION/meshes/right_hip_roll_link.STL,,大腿支座-1,Origin_right_hip_roll_joint,基准轴9,right_hip_roll_joint,revolute,-0.028412,-0.010037,0.0018019,0,0,0,right_hip_yaw_link,-0.98481,-0.17365,0,33.5,21,-0.43,0.43,,,,,,,,
right_hip_pitch_link,0.010277,-0.02896,-0.071557,0,0,0,0.48764,0.00088431,-4.368E-05,1.4345E-05,0.0011964,-2.1424E-06,0.00047728,0,0,0,0,0,0,package://VMP_DESCRIPTION/meshes/right_hip_pitch_link.STL,0.10196,0.10196,0.10196,1,0,0,0,0,0,0,package://VMP_DESCRIPTION/meshes/right_hip_pitch_link.STL,,R大腿-1;A1电机-1;A1电机-2,Origin_right_hip_pitch_joint,基准轴8,right_hip_pitch_joint,revolute,0.064789,0.028737,0.0010654,0,0,0,right_hip_roll_link,-0.17365,0.98481,0,33.5,21,-3.14,2.53,,,,,,,,
right_knee_link,-0.024396,0.0095047,-0.090894,0,0,0,0.60273,0.0016036,-6.2872E-05,-8.4766E-05,0.0019091,0.00011207,0.00046109,0,0,0,0,0,0,package://VMP_DESCRIPTION/meshes/right_knee_link.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://VMP_DESCRIPTION/meshes/right_knee_link.STL,,小腿铝板支撑件-1;小腿-1;A1电机-3,Origin_right_knee_joint,基准轴7,right_knee_joint,revolute,0.031435,-0.048885,-0.14002,0,0,0,right_hip_pitch_link,-0.17365,0.98481,0,33.5,21,-0.26,2.05,,,,,,,,
right_ankle_link,-0.0122030451936225,0.014403218033228,-0.0538867150141659,0,0,0,0.408930301416476,0.000356228632660473,-0.00019137824047532,5.31041430417891E-05,0.00120560887656634,8.18446825247749E-05,0.00112123988743979,0,0,0,0,0,0,package://VMP_DESCRIPTION/meshes/right_ankle_link.STL,1,1,1,1,0,0,0,0,0,0,package://VMP_DESCRIPTION/meshes/right_ankle_link.STL,,脚-1,Origin_right_ankle_joint,基准轴6,right_ankle_joint,revolute,-0.0080996,0.0020294,-0.16979,0,0,0,right_knee_link,-0.17365,0.98481,0,33.5,21,-0.87,0.52,,,,,,,,
